date,emp_id,juice
2012-04-02,587,Orange
2012-04-02,26,Musambi
2012-04-02,177,Musambi
2012-04-02,26,Musambi
2012-04-02,26,Musambi
2012-04-02,498,Musambi
2012-04-02,499,Watermelon
2012-04-02,497,Musambi
2012-04-02,249,Musambi
2012-04-02,355,Musambi
2012-04-02,137,Musambi
2012-04-02,536,Watermelon
2012-04-02,129,Chikku
2012-04-02,19,Musambi
2012-04-02,429,Watermelon
2012-04-02,64,Watermelon
2012-04-02,189,Musambi
2012-04-02,327,Musambi
2012-04-02,488,Musambi
2012-04-02,58,Lime
2012-04-02,114,Pineapple
2012-04-02,122,Musambi
2012-04-02,251,Musambi
2012-04-02,74,Musambi
2012-04-02,192,Musambi
2012-04-02,181,Chikku
2012-04-02,273,Watermelon
2012-04-02,273,Watermelon
2012-04-02,292,Musambi
2012-04-02,430,Watermelon
2012-04-02,439,Musk Melon
2012-04-02,561,Dates
2012-04-02,64,Musambi
2012-04-02,257,Watermelon
2012-04-02,150,Musambi
2012-04-02,472,Musambi
2012-04-02,245,Musambi
2012-04-02,454,Lime
2012-04-02,501,Musambi
2012-04-02,374,Musambi
2012-04-02,360,Musambi
2012-04-02,538,Watermelon
2012-04-02,241,Musambi
2012-04-02,318,Watermelon
2012-04-02,290,Musk Melon
2012-04-02,100,Watermelon
2012-04-02,453,Watermelon
2012-04-02,455,Musambi
2012-04-02,455,Lime
2012-04-02,513,Lime
2012-04-02,288,Musambi
2012-04-02,27,Watermelon
2012-04-02,418,Watermelon
2012-04-02,294,Watermelon
2012-04-02,516,Chikku
2012-04-02,342,Musambi
2012-04-02,389,Lime
2012-04-02,528,Watermelon
2012-04-02,480,Musambi
2012-04-02,76,Watermelon
2012-04-02,283,Watermelon
2012-04-02,259,Watermelon
2012-04-02,363,Watermelon
2012-04-02,206,Watermelon
2012-04-02,407,Musk Melon
2012-04-02,347,Papaya
2012-04-02,298,Watermelon
2012-04-02,287,Musk Melon
2012-04-02,117,Watermelon
2012-04-02,224,Watermelon
2012-04-02,391,Musk Melon
2012-04-02,403,Pineapple
2012-04-02,386,Musambi
2012-04-02,401,Musambi
2012-04-02,595,Musambi
2012-04-02,599,Musambi
2012-04-02,123,Watermelon
2012-04-02,597,Watermelon
2012-04-02,387,Papaya
2012-04-02,7,Watermelon
2012-04-02,411,Pineapple
2012-04-02,416,Watermelon
2012-04-02,249,Pineapple
2012-04-02,394,Musambi
2012-04-02,303,Pineapple
2012-04-02,113,Pineapple
2012-04-02,103,Musambi
2012-04-02,379,Watermelon
2012-04-02,602,Lime
2012-04-02,604,Lime
2012-04-02,557,Pineapple
2012-04-02,590,Pineapple
2012-04-02,232,Grapes
2012-04-02,381,Musk Melon
2012-04-02,90,Musk Melon
2012-04-02,474,Musambi
2012-04-02,227,Musambi
2012-04-02,228,Musambi
2012-04-02,150,Watermelon
2012-04-02,64,Watermelon
2012-04-02,623,Musambi
2012-04-02,482,Musambi
2012-04-02,61,Musambi
2012-04-02,471,Musambi
2012-04-02,351,Musambi
2012-04-02,97,Musambi
2012-04-02,287,Watermelon
2012-04-02,287,Watermelon
2012-04-02,287,Watermelon
2012-04-02,287,Watermelon
2012-04-02,418,Watermelon
2012-04-02,42,Chikku
2012-04-02,342,Musambi
2012-04-02,263,Musambi
2012-04-02,261,Watermelon
2012-04-02,466,Musambi
2012-04-02,33,Lime
2012-04-02,453,Dates
2012-04-02,290,Lime
2012-04-02,412,Watermelon
2012-04-02,224,Lime
2012-04-02,389,Musambi
2012-04-02,122,Musambi
2012-04-02,122,Musambi
2012-04-02,122,Musambi
2012-04-02,121,Chikku
2012-04-02,19,Watermelon
2012-04-02,390,Musambi
2012-04-02,77,Musambi
2012-04-02,123,Watermelon
2012-04-02,45,Lime
2012-04-02,406,Watermelon
2012-04-02,532,Watermelon
2012-04-02,98,Lime
2012-04-02,370,Watermelon
2012-04-02,564,Musk Melon
2012-04-02,84,Lime
2012-04-02,35,Watermelon
2012-04-02,457,Watermelon
2012-04-02,533,Watermelon
2012-04-02,83,Musambi
2012-04-02,454,Lime
2012-04-02,188,Chikku
2012-04-02,61,Musk Melon
2012-04-02,191,Musambi
2012-04-02,103,Lime
2012-04-02,391,Watermelon
2012-04-02,57,Musambi
2012-04-02,424,Musambi
2012-04-02,424,Pineapple
2012-04-02,595,Watermelon
2012-04-02,599,Grapes
2012-04-02,1,Watermelon
2012-04-02,403,Watermelon
2012-04-02,547,Watermelon
2012-04-02,107,Musambi
2012-04-02,181,Watermelon
2012-04-02,215,Musambi
2012-04-02,251,Musambi
2012-04-02,386,Watermelon
2012-04-02,222,Musambi
2012-04-02,209,Lime
2012-04-02,233,Papaya
2012-04-02,233,Dates
2012-04-02,439,Watermelon
2012-04-02,363,Musambi
2012-04-02,189,Watermelon
2012-04-02,189,Musambi
2012-04-02,513,Lime
2012-04-02,523,Lime
2012-04-02,70,Chikku
2012-04-02,45,Chikku
2012-04-02,390,Pineapple
2012-04-02,280,Pineapple
2012-04-02,452,Dates
2012-04-02,431,Papaya
2012-04-02,114,Mixed Fruit
2012-04-02,49,Pineapple
2012-04-02,249,Lime
2012-04-02,240,Musambi
2012-04-02,482,Grapes
2012-04-02,141,Musambi
2012-04-02,19,Musambi
2012-04-02,130,Musambi
2012-04-02,81,Lime
2012-04-02,499,Musambi
2012-04-02,353,Musambi
2012-04-02,561,Chikku
2012-04-02,406,Musambi
2012-04-02,257,Lime
2012-04-02,573,Chikku
2012-04-02,206,Chikku
2012-04-02,622,Chikku
2012-04-02,624,Chikku
2012-04-02,541,Dates
2012-04-02,42,Papaya
2012-04-02,456,Watermelon
2012-04-02,116,Watermelon
2012-04-02,324,Watermelon
2012-04-02,479,Watermelon
2012-04-02,474,Musambi
2012-04-02,265,Musambi
2012-04-02,543,Musambi
2012-04-02,434,Papaya
2012-04-02,83,Lime
2012-04-02,549,Dates
2012-04-02,263,Dates
2012-04-02,309,Musambi
2012-04-02,564,Musambi
2012-04-02,337,Musambi
2012-04-02,337,Musambi
2012-04-02,330,Papaya
2012-04-02,381,Papaya
2012-04-02,354,Lime
2012-04-02,155,Musambi
2012-04-02,61,Grapes
2012-04-02,237,Musk Melon
2012-04-02,604,Watermelon
2012-04-02,602,Watermelon
2012-04-02,283,Watermelon
2012-04-02,454,Musk Melon
2012-04-02,394,Musambi
2012-04-02,28,Musambi
2012-04-03,26,Musambi
2012-04-03,158,Musambi
2012-04-03,26,Musambi
2012-04-03,586,Orange
2012-04-03,129,Pineapple
2012-04-03,312,Musambi
2012-04-03,611,Grapes
2012-04-03,566,Pineapple
2012-04-03,249,Musambi
2012-04-03,498,Chikku
2012-04-03,287,Musk Melon
2012-04-03,287,Watermelon
2012-04-03,496,Watermelon
2012-04-03,401,Musambi
2012-04-03,213,Watermelon
2012-04-03,189,Watermelon
2012-04-03,189,Musambi
2012-04-03,460,Pineapple
2012-04-03,497,Musambi
2012-04-03,275,Pineapple
2012-04-03,240,Musambi
2012-04-03,49,Pineapple
2012-04-03,122,Musambi
2012-04-03,122,Musambi
2012-04-03,141,Musambi
2012-04-03,429,Musambi
2012-04-03,430,Watermelon
2012-04-03,327,Watermelon
2012-04-03,395,Musambi
2012-04-03,251,Musk Melon
2012-04-03,343,Watermelon
2012-04-03,114,Pineapple
2012-04-03,181,Mixed Fruit
2012-04-03,201,Watermelon
2012-04-03,239,Chikku
2012-04-03,265,Watermelon
2012-04-03,133,Watermelon
2012-04-03,547,Watermelon
2012-04-03,424,Watermelon
2012-04-03,376,Musambi
2012-04-03,455,Papaya
2012-04-03,455,Lime
2012-04-03,52,Musk Melon
2012-04-03,50,Watermelon
2012-04-03,58,Watermelon
2012-04-03,153,Watermelon
2012-04-03,453,Chikku
2012-04-03,543,Grapes
2012-04-03,294,Musk Melon
2012-04-03,471,Musambi
2012-04-03,18,Watermelon
2012-04-03,206,Musambi
2012-04-03,122,Watermelon
2012-04-03,63,Musambi
2012-04-03,305,Orange
2012-04-03,100,Musambi
2012-04-03,273,Watermelon
2012-04-03,513,Lime
2012-04-03,129,Watermelon
2012-04-03,74,Musambi
2012-04-03,434,Watermelon
2012-04-03,195,Watermelon
2012-04-03,222,Watermelon
2012-04-03,283,Watermelon
2012-04-03,453,Watermelon
2012-04-03,472,Musk Melon
2012-04-03,407,Musk Melon
2012-04-03,290,Watermelon
2012-04-03,224,Watermelon
2012-04-03,501,Musambi
2012-04-03,227,Musambi
2012-04-03,113,Watermelon
2012-04-03,228,Musk Melon
2012-04-03,269,Watermelon
2012-04-03,59,Lime
2012-04-03,412,Watermelon
2012-04-03,439,Watermelon
2012-04-03,389,Lime
2012-04-03,347,Papaya
2012-04-03,379,Watermelon
2012-04-03,236,Watermelon
2012-04-03,391,Musk Melon
2012-04-03,406,Watermelon
2012-04-03,573,Musk Melon
2012-04-03,482,Pineapple
2012-04-03,516,Chikku
2012-04-03,509,Chikku
2012-04-03,97,Chikku
2012-04-03,556,Chikku
2012-04-03,117,Lime
2012-04-03,63,Lime
2012-04-03,91,Dates
2012-04-03,604,Chikku
2012-04-03,600,Lime
2012-04-03,214,Chikku
2012-04-03,498,Chikku
2012-04-03,247,Chikku
2012-04-03,471,Chikku
2012-04-03,466,Lime
2012-04-03,218,Lime
2012-04-03,571,Pineapple
2012-04-03,289,Papaya
2012-04-03,351,Musambi
2012-04-03,297,Musambi
2012-04-03,138,Dates
2012-04-03,552,Watermelon
2012-04-03,416,Chikku
2012-04-03,390,Orange
2012-04-03,123,Watermelon
2012-04-03,390,Lime
2012-04-03,64,Watermelon
2012-04-03,77,Lime
2012-04-03,176,Orange
2012-04-03,608,Orange
2012-04-03,622,Musambi
2012-04-03,623,Musambi
2012-04-03,474,Pineapple
2012-04-03,479,Musambi
2012-04-03,175,Orange
2012-04-03,98,Orange
2012-04-03,537,Musk Melon
2012-04-03,103,Musambi
2012-04-03,464,Orange
2012-04-03,98,Orange
2012-04-03,113,Orange
2012-04-03,429,Orange
2012-04-03,269,Papaya
2012-04-03,222,Watermelon
2012-04-03,63,Musambi
2012-04-03,91,Musambi
2012-04-03,224,Lime
2012-04-03,407,Musambi
2012-04-03,308,Musambi
2012-04-03,85,Watermelon
2012-04-03,137,Orange
2012-04-03,466,Orange
2012-04-03,287,Musk Melon
2012-04-03,0,Watermelon
2012-04-03,599,Orange
2012-04-03,399,Orange
2012-04-03,305,Orange
2012-04-03,290,Watermelon
2012-04-03,57,Orange
2012-04-03,519,Watermelon
2012-04-03,324,Watermelon
2012-04-03,321,Watermelon
2012-04-03,321,Musambi
2012-04-03,50,Musambi
2012-04-03,123,Watermelon
2012-04-03,390,Orange
2012-04-03,45,Watermelon
2012-04-03,424,Orange
2012-04-03,424,Musambi
2012-04-03,330,Musk Melon
2012-04-03,73,Watermelon
2012-04-03,33,Lime
2012-04-03,129,Lime
2012-04-03,187,Lime
2012-04-03,532,Orange
2012-04-03,430,Watermelon
2012-04-03,97,Lime
2012-04-03,141,Musambi
2012-04-03,391,Musambi
